SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Stellar,XLM,8/6/2014 23:59,0.00340247,0.00226572,0.00237308,0.00265703,35819.80078,966369.5164
2,Stellar,XLM,8/7/2014 23:59,0.00304195,0.00245497,0.0026861,0.0025007,142864,1079147.577
3,Stellar,XLM,8/8/2014 23:59,0.00324332,0.00249291,0.002493,0.002881,93707.79688,1260109.498
4,Stellar,XLM,8/9/2014 23:59,0.00371049,0.00287288,0.00288372,0.00348079,233579,1645185.473
5,Stellar,XLM,8/10/2014 23:59,0.00762017,0.00336312,0.00349684,0.00430251,352737,2216011.863
6,Stellar,XLM,8/11/2014 23:59,0.00506541,0.00359125,0.00456581,0.00359125,479942,2273973.664
7,Stellar,XLM,8/12/2014 23:59,0.00367911,0.00250289,0.00359157,0.00265882,345441,2271969.534
8,Stellar,XLM,8/13/2014 23:59,0.00321515,0.00256965,0.00261857,0.00277272,256302,2589318.436
9,Stellar,XLM,8/14/2014 23:59,0.00285037,0.00248172,0.00276335,0.00254017,169177,2487700.82
10,Stellar,XLM,8/15/2014 23:59,0.00260955,0.00235693,0.00256609,0.00240334,135243,2431615.896
11,Stellar,XLM,8/16/2014 23:59,0.00253176,0.00223116,0.00240094,0.00252522,116834,2594830.53
12,Stellar,XLM,8/17/2014 23:59,0.00254506,0.0022986,0.0025075,0.00233673,61889,2421904.86
13,Stellar,XLM,8/18/2014 23:59,0.00236765,0.00192785,0.00233634,0.00202461,104237,2111934.567
14,Stellar,XLM,8/19/2014 23:59,0.00222377,0.00199756,0.00202754,0.00222377,66940.60156,2319684.647
15,Stellar,XLM,8/20/2014 23:59,0.00252133,0.0022206,0.00222301,0.00249559,96583.79688,2603228.665
16,Stellar,XLM,8/21/2014 23:59,0.00262432,0.00232877,0.00248822,0.00239014,76029.29688,2493230.443
17,Stellar,XLM,8/22/2014 23:59,0.00240802,0.00227198,0.00239237,0.00235495,50589.10156,2456522.644
18,Stellar,XLM,8/23/2014 23:59,0.00238756,0.00222225,0.00235845,0.00223726,43776.30078,2333756.492
19,Stellar,XLM,8/24/2014 23:59,0.00229299,0.00220147,0.0022366,0.00223217,37470.39844,2328446.952
20,Stellar,XLM,8/25/2014 23:59,0.00224234,0.00217482,0.00223587,0.00222085,38511.60156,2316638.703
21,Stellar,XLM,8/26/2014 23:59,0.00233844,0.00222105,0.00222105,0.00231452,99823,2414348.835
22,Stellar,XLM,8/27/2014 23:59,0.00232807,0.0022684,0.00228074,0.00227299,60131.80078,2371027.582
23,Stellar,XLM,8/28/2014 23:59,0.00231585,0.00210914,0.00227009,0.00218045,90044.10156,2274496.188
24,Stellar,XLM,8/29/2014 23:59,0.00225712,0.00216354,0.00218437,0.00221055,43048.5,2305894.448
25,Stellar,XLM,8/30/2014 23:59,0.00223984,0.00218591,0.00221834,0.00219536,39115.80078,2290049.28
26,Stellar,XLM,8/31/2014 23:59,0.00221481,0.00204793,0.0021896,0.00206058,22843.5,2149456.009
27,Stellar,XLM,9/1/2014 23:59,0.00209777,0.00199889,0.00206057,0.00200988,27974.90039,2096569.24
28,Stellar,XLM,9/2/2014 23:59,0.00203352,0.0019844,0.00200753,0.00199938,23792.5,2085616.358
29,Stellar,XLM,9/3/2014 23:59,0.00210061,0.00199393,0.00199834,0.00205905,36080.60156,2296310.986
30,Stellar,XLM,9/4/2014 23:59,0.00217726,0.00204057,0.00205943,0.00213013,58031,2385988.808
31,Stellar,XLM,9/5/2014 23:59,0.00213373,0.00206983,0.00213015,0.00208189,26119,2342120.421
32,Stellar,XLM,9/6/2014 23:59,0.00210686,0.00205828,0.00208189,0.00208148,31676,2352617.696
33,Stellar,XLM,9/7/2014 23:59,0.00211385,0.00202391,0.00206014,0.00204404,34743.60156,2321955.088
34,Stellar,XLM,9/8/2014 23:59,0.00231303,0.00202619,0.00204207,0.00225749,105569,2577430.174
35,Stellar,XLM,9/9/2014 23:59,0.0022719,0.00206894,0.00226523,0.00217795,51288.69922,2500177.43
36,Stellar,XLM,9/10/2014 23:59,0.00231454,0.00217883,0.00217883,0.00227836,59877.89844,2630390.6
37,Stellar,XLM,9/11/2014 23:59,0.00261894,0.00222698,0.00224362,0.0025013,113300,2903423.871
38,Stellar,XLM,9/12/2014 23:59,0.00315014,0.00249541,0.00250045,0.00296825,117052,3464777.895
39,Stellar,XLM,9/13/2014 23:59,0.00319811,0.00294524,0.00303219,0.0030938,111452,3632836.873
40,Stellar,XLM,9/14/2014 23:59,0.00313229,0.00267489,0.0030958,0.00294273,113315,3475761.693
41,Stellar,XLM,9/15/2014 23:59,0.00310662,0.00269248,0.00287419,0.00289645,72903.10156,3441244.294
42,Stellar,XLM,9/16/2014 23:59,0.00305752,0.00281612,0.00303068,0.00298966,86554.89844,3569800.832
43,Stellar,XLM,9/17/2014 23:59,0.00312823,0.00292797,0.00298845,0.003072,118073,3686984.986
44,Stellar,XLM,9/18/2014 23:59,0.00376842,0.00305493,0.00308068,0.00345566,205474,4154490.087
45,Stellar,XLM,9/19/2014 23:59,0.00402635,0.00316009,0.00346044,0.00387209,204649,4683239.033
46,Stellar,XLM,9/20/2014 23:59,0.00430415,0.00330876,0.00393559,0.00361218,186971,4376639.289
47,Stellar,XLM,9/21/2014 23:59,0.00386158,0.00329639,0.00361048,0.00346398,145626,4231082.268
48,Stellar,XLM,9/22/2014 23:59,0.00408068,0.00344683,0.00346639,0.0040234,178810,4923639.069
49,Stellar,XLM,9/23/2014 23:59,0.00410237,0.00375408,0.00400673,0.00396472,120447,4859056.461
50,Stellar,XLM,9/24/2014 23:59,0.00406845,0.00342529,0.00396616,0.00388963,163121,4815434.287
